date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,7.41,7.41,7.36,7.3,84923.01,-0.04,-0.54,7.384,7.451,7.569,77443.82,80944.95,78802.48
2019-01-03,7.38,7.44,7.41,7.35,87087.32,0.05,0.68,7.386,7.427,7.547,75830.95,84451.4,78441.01
2019-01-04,7.36,7.6,7.57,7.34,205988.3,0.16,2.16,7.422,7.424,7.536,109448.34,99608.39,84779.13
2019-01-07,7.59,7.59,7.54,7.5,139861.02,-0.03,-0.4,7.456,7.432,7.528,117997.83,97126.43,87533.5
2019-01-08,7.51,7.53,7.49,7.47,88947.41,-0.05,-0.66,7.474,7.437,7.517,121361.41,96216.79,89901.07
2019-01-09,7.49,7.58,7.51,7.49,147993.48,0.02,0.27,7.504,7.444,7.512,133975.51,105709.67,93058.41
2019-01-10,7.5,7.56,7.53,7.48,94108.85,0.02,0.27,7.528,7.457,7.507,135379.81,105605.38,94408.16
2019-01-11,7.52,7.55,7.53,7.5,58798.67,0.0,0.0,7.52,7.471,7.502,105941.89,107695.12,94089.48
2019-01-14,7.55,7.55,7.49,7.46,61401.84,-0.04,-0.53,7.51,7.483,7.491,90250.05,104123.94,91695.5
2019-01-15,7.49,7.56,7.55,7.48,85034.34,0.06,0.8,7.522,7.498,7.489,89467.44,105414.42,92091.36
2019-01-16,7.54,7.58,7.54,7.53,51181.25,-0.01,-0.13,7.528,7.516,7.484,70104.99,102040.25,91492.6
2019-01-17,7.55,7.6,7.55,7.52,87525.79,0.01,0.13,7.532,7.53,7.479,68788.38,102084.1,93267.75
2019-01-18,7.56,7.63,7.61,7.55,93703.31,0.06,0.8,7.548,7.534,7.479,75769.31,90855.6,95231.99
2019-01-21,7.62,7.66,7.61,7.57,96587.18,0.0,0.0,7.572,7.541,7.487,82806.37,86528.21,91827.32
2019-01-22,7.61,7.61,7.56,7.55,61107.6,-0.05,-0.66,7.574,7.548,7.493,78021.03,83744.23,89980.51
