date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,7.29,7.3,7.17,7.13,209420.06,-0.09,-1.24,7.18,7.484,7.759,240002.14,237685.39,300192.75
2019-01-03,7.21,7.57,7.3,7.15,318880.5,0.13,1.81,7.184,7.424,7.7,233101.99,244745.26,288705.72
2019-01-04,7.19,8.03,8.03,7.15,900347.12,0.73,10.0,7.358,7.445,7.69,379219.57,317856.17,311567.53
2019-01-07,8.02,8.13,8.03,7.9,698172.81,0.0,0.0,7.558,7.458,7.69,480186.17,360436.68,327275.58
2019-01-08,7.92,8.26,8.05,7.9,562445.75,0.02,0.25,7.716,7.485,7.692,537853.25,396741.82,343187.17
2019-01-09,8.08,8.34,8.08,8.01,584012.75,0.03,0.37,7.898,7.539,7.709,612771.79,426386.96,356488.02
2019-01-10,8.08,8.18,7.95,7.9,396195.53,-0.13,-1.61,8.028,7.606,7.717,628234.79,430668.39,367340.34
2019-01-11,8.0,8.09,8.08,7.92,316230.78,0.13,1.64,8.038,7.698,7.725,511411.52,445315.55,367400.52
2019-01-14,8.19,8.23,7.95,7.94,278318.41,-0.13,-1.61,8.022,7.79,7.719,427440.64,453813.41,359551.52
2019-01-15,7.94,8.38,8.29,7.92,621524.38,0.34,4.28,8.07,7.893,7.735,439256.37,488554.81,366494.47
2019-01-16,8.35,8.35,8.1,8.08,361808.78,-0.19,-2.29,8.074,7.986,7.735,394815.58,503793.68,370739.54
2019-01-17,8.11,8.23,8.0,7.95,319276.56,-0.1,-1.24,8.084,8.056,7.74,379431.78,503833.29,374289.27
2019-01-18,8.0,8.2,8.19,7.98,367815.62,0.19,2.38,8.106,8.072,7.759,389748.75,450580.14,384218.15
2019-01-21,8.2,8.25,8.11,8.02,329427.88,-0.08,-0.98,8.138,8.08,7.769,399970.64,413705.64,387071.16
2019-01-22,8.09,8.11,8.03,7.97,211035.0,-0.08,-0.99,8.086,8.078,7.782,317872.77,378564.57,387653.19
2019-01-23,8.02,8.06,7.94,7.86,179955.33,-0.09,-1.12,8.054,8.064,7.802,281502.08,338158.83,382272.89
2019-01-24,7.97,8.2,8.04,7.94,371609.44,0.1,1.26,8.062,8.073,7.84,291968.65,335700.22,383184.31
2019-01-25,8.01,8.07,7.95,7.94,219949.0,-0.09,-1.12,8.014,8.06,7.879,262395.33,326072.04,385693.79
2019-01-28,8.09,8.12,7.9,7.89,285019.69,-0.05,-0.63,7.972,8.055,7.923,253513.69,326742.17,390277.79
2019-01-29,7.8,7.85,7.66,7.53,301421.81,-0.24,-3.04,7.898,7.992,7.943,271591.05,294731.91,391643.36
2019-01-30,7.66,7.79,7.6,7.58,144708.0,-0.06,-0.78,7.83,7.942,7.964,264541.59,273021.83,388407.76
2019-01-31,7.67,7.77,7.56,7.45,202895.95,-0.04,-0.53,7.734,7.898,7.977,230798.89,261383.77,382608.53
2019-02-01,7.7,7.83,7.83,7.65,207392.56,0.27,3.57,7.71,7.862,7.967,228287.6,245341.47,347960.8
2019-02-11,7.87,8.04,8.03,7.78,244876.8,0.2,2.55,7.736,7.854,7.967,220259.02,236886.36,325296.0
2019-02-12,8.04,8.2,8.15,7.98,324634.28,0.12,1.49,7.834,7.866,7.972,224901.52,248246.29,313405.43
2019-02-13,8.13,8.64,8.48,8.07,695671.12,0.33,4.05,8.01,7.92,7.992,335094.14,299817.87,318988.35
2019-02-14,8.4,8.52,8.39,8.36,417298.22,-0.09,-1.06,8.176,7.955,8.014,377974.6,304386.74,320043.48
2019-02-15,8.39,8.56,8.31,8.27,419081.31,-0.08,-0.95,8.272,7.991,8.026,420312.35,324299.97,325186.01
2019-02-18,8.4,8.93,8.78,8.38,742655.81,0.47,5.66,8.422,8.079,8.067,519868.15,370063.59,348402.88
2019-02-19,8.78,9.13,8.74,8.6,752636.75,-0.04,-0.46,8.54,8.187,8.09,605468.64,415185.08,354958.5
2019-02-20,8.74,8.89,8.76,8.58,453033.41,0.02,0.23,8.596,8.303,8.123,556941.1,446017.62,359519.73
2019-02-21,8.7,9.11,8.78,8.6,820779.94,0.02,0.23,8.674,8.425,8.162,637637.44,507806.02,384594.9
2019-02-22,8.81,9.66,9.66,8.68,1333783.62,0.88,10.02,8.944,8.608,8.235,820577.91,620445.13,432893.3
2019-02-25,10.31,10.63,10.63,9.86,1430193.0,0.97,10.04,9.314,8.868,8.361,958085.34,738976.75,487931.55
2019-02-26,10.99,11.39,10.47,10.39,1752000.0,-0.16,-1.5,9.66,9.1,8.483,1157957.99,881713.32,564979.8
2019-02-27,10.24,10.85,10.44,10.05,1136649.62,-0.03,-0.29,9.996,9.296,8.608,1294681.24,925811.17,612814.52
2019-02-28,10.28,10.3,10.05,9.8,677153.5,-0.39,-3.74,10.25,9.462,8.709,1265955.95,951796.7,628091.72
2019-03-01,10.2,10.55,10.45,10.01,858829.88,0.4,3.98,10.408,9.676,8.834,1170965.2,995771.55,660035.76
2019-03-04,10.54,11.38,10.57,10.21,1346112.12,0.12,1.15,10.396,9.855,8.967,1154149.02,1056117.18,713090.39
