date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,10.43,10.43,10.01,9.95,100864.99,0.28,2.88,9.852,9.955,10.067,55404.47,57144.75,59749.09
2019-01-03,10.01,10.03,9.72,9.7,45413.73,-0.29,-2.9,9.812,9.905,10.038,52736.21,52466.74,59638.85
2019-01-04,9.71,9.9,9.9,9.66,44898.4,0.18,1.85,9.812,9.888,10.026,52839.09,51508.35,59337.37
2019-01-07,9.95,10.11,10.04,9.95,61698.4,0.14,1.41,9.88,9.883,10.023,57797.57,51742.15,59955.57
2019-01-08,10.0,10.1,10.05,9.98,47381.41,0.01,0.1,9.944,9.889,10.015,60051.39,51592.01,59394.03
2019-01-09,10.07,10.15,10.11,10.06,55317.36,0.06,0.6,9.964,9.908,10.006,50941.86,53173.17,59327.74
2019-01-10,10.12,10.15,10.0,9.96,52754.48,-0.11,-1.09,10.02,9.916,9.991,52410.01,52573.11,60214.88
2019-01-11,10.0,10.18,10.11,10.0,47179.43,0.11,1.1,10.062,9.937,9.985,52866.22,52852.66,60419.37
2019-01-14,10.11,10.16,10.15,10.06,41500.74,0.04,0.4,10.084,9.982,9.978,48826.68,53312.13,59088.9
2019-01-15,10.19,10.28,10.25,10.13,49124.12,0.1,0.98,10.124,10.034,9.998,49175.23,54613.31,55971.21
2019-01-16,10.24,10.4,10.36,10.21,69629.14,0.11,1.07,10.174,10.069,10.012,52037.58,51489.72,54317.24
2019-01-17,10.36,10.38,10.16,10.15,54171.16,-0.2,-1.93,10.206,10.113,10.009,52320.92,52365.46,52416.1
2019-01-18,10.21,10.34,10.23,10.18,51322.1,0.07,0.69,10.23,10.146,10.017,53149.45,53007.83,52258.09
2019-01-21,10.24,10.32,10.22,10.21,37700.94,-0.01,-0.1,10.244,10.164,10.024,52389.49,50608.09,51175.12
2019-01-22,10.24,10.25,10.11,10.1,28917.76,-0.11,-1.08,10.216,10.17,10.03,48348.22,48761.72,50176.87
2019-01-23,10.11,10.17,10.02,9.98,28728.0,-0.09,-0.89,10.148,10.161,10.035,40167.99,46102.79,49637.98
2019-01-24,10.05,10.14,10.11,9.99,31543.65,0.09,0.9,10.138,10.172,10.044,35642.49,43981.7,48277.41
2019-01-25,10.05,10.14,10.03,10.01,24809.1,-0.08,-0.79,10.098,10.164,10.051,30339.89,41744.67,47298.66
2019-01-28,10.02,10.13,10.03,10.01,29294.6,0.0,0.0,10.06,10.152,10.067,28658.62,40524.06,46918.09
2019-01-29,10.03,10.03,9.84,9.63,41626.9,-0.19,-1.89,10.006,10.111,10.073,31200.45,39774.34,47193.82
2019-01-30,9.71,9.83,9.53,9.49,69508.09,-0.31,-3.15,9.908,10.028,10.049,39356.47,39762.23,45625.98
2019-01-31,9.28,9.28,8.58,8.58,219507.28,-0.95,-9.97,9.602,9.87,9.992,76949.19,56295.84,54330.65
2019-02-01,8.47,8.73,8.73,8.47,60251.87,0.15,1.75,9.342,9.72,9.933,84037.75,57188.82,55098.33
2019-02-11,8.73,9.36,9.3,8.72,102062.11,0.57,6.53,9.196,9.628,9.896,98591.25,63624.94,57116.51
2019-02-12,9.29,9.48,9.42,9.21,71998.0,0.12,1.29,9.112,9.559,9.865,104665.47,67932.96,58347.34
2019-02-13,9.48,9.78,9.68,9.45,87247.59,0.26,2.76,9.142,9.525,9.843,108213.37,73784.92,59943.85
2019-02-14,9.7,9.76,9.71,9.64,64820.89,0.03,0.31,9.368,9.485,9.829,77276.09,77112.64,60547.17
2019-02-15,9.73,9.93,9.75,9.73,65554.92,0.04,0.41,9.572,9.457,9.811,78336.7,81187.23,61465.95
2019-02-18,9.77,10.15,9.93,9.77,100173.02,0.18,1.85,9.698,9.447,9.8,77958.88,88275.07,64399.56
2019-02-19,9.99,10.04,9.83,9.72,117720.6,-0.1,-1.01,9.78,9.446,9.779,87103.4,95884.44,67829.39
2019-02-20,9.83,9.88,9.75,9.68,72541.28,-0.08,-0.81,9.794,9.468,9.748,84162.14,96187.76,67974.99
2019-02-21,9.72,9.88,9.59,9.48,138061.88,-0.16,-1.64,9.77,9.569,9.72,98810.34,88043.22,72169.53
2019-02-22,9.55,9.84,9.83,9.55,106828.33,0.24,2.5,9.786,9.679,9.7,107065.02,92700.86,74944.84
2019-02-25,9.92,10.39,10.29,9.92,227913.88,0.46,4.68,9.858,9.778,9.703,132613.19,105286.04,84455.49
2019-02-26,10.32,10.48,10.2,10.15,244463.98,-0.09,-0.88,9.932,9.856,9.708,157961.87,122532.64,95232.8
2019-02-27,10.24,10.44,10.2,10.06,169817.75,0.0,0.0,10.022,9.908,9.717,177417.16,130789.65,102287.29
2019-02-28,10.2,10.43,10.37,10.2,141527.91,0.17,1.67,10.178,9.974,9.73,178110.37,138460.36,107786.5
2019-03-01,10.35,10.35,10.24,10.14,108819.8,-0.13,-1.25,10.26,10.023,9.74,178508.66,142786.84,111987.03
2019-03-04,10.52,11.26,11.19,10.52,613049.56,0.95,9.28,10.44,10.149,9.798,255535.8,194074.5,141174.78
2019-03-05,10.99,11.4,11.32,10.91,412528.66,0.13,1.16,10.664,10.298,9.872,289148.74,223555.3,159719.87
2019-03-06,11.32,11.55,11.22,11.08,363692.25,-0.1,-0.88,10.868,10.445,9.957,327923.64,252670.4,174429.08
2019-03-07,11.4,12.18,11.85,11.4,482434.62,0.63,5.62,11.164,10.671,10.12,396104.98,287107.67,187575.45
2019-03-08,11.41,12.63,11.6,11.38,662597.88,-0.25,-2.11,11.436,10.848,10.264,506860.59,342684.63,217692.75
2019-03-11,12.09,12.28,12.02,11.61,359663.0,0.42,3.62,11.602,11.021,10.4,456183.28,355859.54,230572.79
2019-03-12,12.2,12.27,12.02,11.85,435304.19,0.0,0.0,11.742,11.203,10.53,460738.39,374943.56,248738.1
2019-03-13,12.05,13.19,12.64,11.81,877414.12,0.62,5.16,12.026,11.447,10.678,563482.76,445703.2,288246.43
2019-03-14,12.38,12.63,11.86,11.48,482245.12,-0.78,-6.17,12.028,11.596,10.785,563444.86,479774.92,309117.64
2019-03-15,11.94,12.48,12.02,11.88,471030.62,0.16,1.35,12.112,11.774,10.899,525131.41,515996.0,329391.42
2019-03-18,12.08,12.09,11.85,11.55,437335.0,-0.17,-1.41,12.078,11.84,10.995,540665.81,498424.55,346249.52
2019-03-19,11.86,12.4,12.01,11.73,470430.72,0.16,1.35,12.076,11.909,11.104,547691.12,504214.75,363885.03
2019-03-20,12.06,12.34,12.1,11.84,385958.25,0.09,0.75,11.968,11.997,11.221,449399.94,506441.35,379555.88
2019-03-21,11.98,13.13,12.6,11.95,770182.0,0.5,4.13,12.116,12.072,11.372,506987.32,535216.09,411161.88
2019-03-22,12.44,12.55,12.5,12.12,454499.44,-0.1,-0.79,12.212,12.162,11.505,503681.08,514406.25,428545.44
2019-03-25,12.22,13.08,12.8,12.08,580492.88,0.3,2.4,12.402,12.24,11.631,532312.66,536489.23,446174.39
2019-03-26,12.81,13.4,12.98,12.72,941314.25,0.18,1.41,12.596,12.336,11.77,626489.36,587090.24,481016.9
2019-03-27,12.92,12.92,12.39,12.2,504398.91,-0.59,-4.54,12.654,12.311,11.879,650177.5,549788.72,497745.96
2019-03-28,12.45,12.98,12.38,12.33,379847.78,-0.01,-0.08,12.61,12.363,11.98,572110.65,539548.99,509661.95
2019-03-29,12.23,12.45,12.34,11.77,434311.78,-0.04,-0.32,12.578,12.395,12.085,568073.12,535877.1,525936.55
2019-04-01,12.26,12.68,12.67,12.18,476932.0,0.33,2.67,12.552,12.477,12.159,547360.94,539836.8,519130.67
2019-04-02,12.62,13.25,12.92,12.62,590830.5,0.25,1.97,12.54,12.568,12.239,477264.19,551876.78,528045.77
