date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,7.07,7.1,7.05,6.94,97015.96,0.0,0.0,7.104,7.163,7.34,86737.36,74809.37,73786.1
2019-01-03,7.0,7.12,7.06,6.99,64331.05,0.01,0.14,7.08,7.139,7.309,89337.5,73502.64,72602.56
2019-01-04,6.95,7.19,7.18,6.95,91935.46,0.12,1.7,7.088,7.137,7.287,98121.29,75963.49,73125.48
2019-01-07,7.2,7.26,7.23,7.18,99909.21,0.05,0.7,7.114,7.135,7.275,98945.19,80471.88,74446.66
2019-01-08,7.23,7.28,7.27,7.2,61842.93,0.04,0.55,7.158,7.147,7.264,83006.92,79609.37,75338.93
2019-01-09,7.27,7.39,7.28,7.23,64196.15,0.01,0.14,7.204,7.154,7.259,76442.96,81590.16,74902.07
2019-01-10,7.28,7.37,7.28,7.25,50448.75,0.0,0.0,7.248,7.164,7.247,73666.5,81502.0,75148.63
2019-01-11,7.32,7.37,7.31,7.29,63022.74,0.03,0.41,7.274,7.181,7.238,67883.96,83002.62,75611.18
2019-01-14,7.33,7.38,7.35,7.31,71649.34,0.04,0.55,7.298,7.206,7.225,62231.98,80588.58,73917.31
2019-01-15,7.37,7.37,7.34,7.26,69951.07,-0.01,-0.14,7.312,7.235,7.217,63853.61,73430.27,73203.53
2019-01-16,7.36,7.4,7.32,7.3,44501.57,-0.02,-0.27,7.32,7.262,7.213,59914.69,68178.83,71494.1
2019-01-17,7.35,7.35,7.31,7.25,64152.46,-0.01,-0.14,7.326,7.287,7.213,62655.44,68160.97,70831.8
2019-01-18,7.31,7.42,7.4,7.29,75044.27,0.09,1.23,7.344,7.309,7.223,65059.74,66471.85,71217.67
2019-01-21,7.44,7.57,7.51,7.39,106109.24,0.11,1.49,7.376,7.337,7.236,71951.72,67091.85,73781.87
2019-01-22,7.48,7.53,7.47,7.42,92534.08,-0.04,-0.53,7.402,7.357,7.252,76468.32,70160.97,74885.17
2019-01-23,7.43,7.46,7.37,7.29,69492.63,-0.1,-1.34,7.412,7.366,7.26,81466.54,70690.62,76140.39
2019-01-24,7.36,7.39,7.35,7.29,46933.05,-0.02,-0.27,7.42,7.373,7.269,78022.65,70339.05,75920.52
2019-01-25,7.38,7.38,7.35,7.27,90386.5,0.0,0.0,7.41,7.377,7.279,81091.1,73075.42,78039.02
2019-01-28,7.37,7.43,7.35,7.33,67012.88,0.0,0.0,7.378,7.377,7.292,73271.83,72611.78,76600.18
2019-01-29,7.34,7.49,7.47,7.28,90018.72,0.12,1.63,7.378,7.39,7.313,72768.76,74618.54,74024.4
2019-01-30,7.47,7.63,7.59,7.4,128693.04,0.12,1.61,7.422,7.417,7.34,84608.84,83037.69,75608.26
2019-01-31,7.57,7.71,7.68,7.54,110241.48,0.09,1.19,7.488,7.454,7.371,97270.52,87646.59,77903.78
2019-02-01,7.65,7.73,7.72,7.63,75372.96,0.04,0.52,7.562,7.486,7.398,94267.82,87679.46,77075.65
2019-02-11,7.74,7.9,7.82,7.73,139752.48,0.1,1.29,7.656,7.517,7.427,108815.74,91043.78,79067.82
2019-02-12,7.81,7.84,7.83,7.73,81148.59,0.01,0.13,7.728,7.553,7.455,107041.71,89905.23,80033.1
2019-02-13,7.81,7.94,7.9,7.77,110150.09,0.07,0.89,7.79,7.606,7.486,103333.12,93970.98,82330.8
2019-02-14,7.9,8.12,8.08,7.86,155567.84,0.18,2.28,7.87,7.679,7.526,112398.39,104834.46,87586.75
2019-02-15,8.07,8.15,7.95,7.92,138331.34,-0.13,-1.61,7.916,7.739,7.558,124990.07,109628.94,91352.18
2019-02-18,7.99,8.12,8.11,7.95,104984.01,0.16,2.01,7.974,7.815,7.596,118036.37,113426.06,93018.92
2019-02-19,8.1,8.24,8.09,8.01,144717.56,-0.02,-0.25,8.026,7.877,7.634,130750.17,118895.94,96757.24
2019-02-20,8.07,8.11,8.07,7.95,81582.9,-0.02,-0.25,8.06,7.925,7.671,125036.73,114184.93,98611.31
2019-02-21,8.07,8.11,7.96,7.94,114854.79,-0.11,-1.36,8.036,7.953,7.704,116894.12,114646.26,101146.42
2019-02-22,7.98,8.08,8.05,7.94,157625.61,0.09,1.13,8.056,7.986,7.736,120752.97,122871.52,105275.49
2019-02-25,8.1,8.48,8.46,8.1,266609.94,0.41,5.09,8.126,8.05,7.784,153078.16,135557.27,113300.52
2019-02-26,8.47,8.71,8.44,8.4,295104.09,-0.02,-0.24,8.196,8.111,7.832,183155.47,156952.82,123429.03
2019-02-27,8.48,8.65,8.49,8.41,201646.66,0.05,0.59,8.28,8.17,7.888,207168.22,166102.47,130036.73
2019-02-28,8.46,8.6,8.51,8.44,120051.09,0.02,0.24,8.39,8.213,7.946,208207.48,162550.8,133692.63
2019-03-01,8.55,8.59,8.57,8.45,105272.6,0.06,0.7,8.494,8.275,8.007,197736.88,159244.93,134436.93
2019-03-04,8.6,8.86,8.65,8.57,241981.2,0.08,0.93,8.532,8.329,8.072,192811.13,172944.64,143185.35
2019-03-05,8.66,8.77,8.72,8.61,159537.94,0.07,0.81,8.588,8.392,8.135,165697.9,174426.68,146661.31
