date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,7.16,7.2,7.16,7.03,158363.94,0.0,0.0,7.09,7.235,7.407,186660.38,191466.13,199584.08
2019-01-03,7.16,7.51,7.31,7.12,281263.25,0.15,2.1,7.134,7.234,7.372,187686.32,203313.09,201622.61
2019-01-04,7.25,8.04,7.88,7.23,654337.0,0.57,7.8,7.302,7.287,7.373,291006.76,252786.37,222955.73
2019-01-07,7.96,7.96,7.84,7.77,405362.84,-0.04,-0.51,7.47,7.321,7.384,341268.07,267717.12,232373.61
2019-01-08,7.8,8.03,7.93,7.67,447159.41,0.09,1.15,7.624,7.371,7.398,389297.29,290343.39,247853.36
2019-01-09,7.91,8.08,7.87,7.87,331131.06,-0.06,-0.76,7.766,7.428,7.418,423850.71,305255.55,254045.25
2019-01-10,7.87,7.96,7.8,7.77,293151.5,-0.07,-0.89,7.864,7.499,7.433,426228.36,306957.34,262033.42
2019-01-11,7.83,8.0,7.9,7.75,244108.08,0.1,1.28,7.868,7.585,7.456,344182.58,317594.67,263384.99
2019-01-14,7.96,8.0,7.86,7.83,145081.59,-0.04,-0.51,7.872,7.671,7.471,292126.33,316697.2,255066.45
2019-01-15,7.84,8.07,8.0,7.84,328299.38,0.14,1.78,7.886,7.755,7.505,268354.32,328825.81,260248.91
2019-01-16,8.0,8.01,7.95,7.91,181759.41,-0.05,-0.62,7.902,7.834,7.535,238479.99,331165.35,261315.74
2019-01-17,7.93,7.97,7.8,7.77,222252.61,-0.15,-1.89,7.902,7.883,7.559,224300.21,325264.29,264288.69
2019-01-18,7.83,7.96,7.96,7.8,199677.59,0.16,2.05,7.914,7.891,7.589,215414.12,279798.35,266292.36
2019-01-21,7.92,8.02,7.87,7.8,256227.55,-0.09,-1.13,7.916,7.894,7.608,237643.31,264884.82,266300.97
