date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,62.49,62.58,59.8,59.69,42416.53,-2.52,-4.04,63.244,65.509,70.075,46932.58,38416.67,42161.96
2019-01-03,59.79,60.98,59.2,59.02,37396.03,-0.6,-1.0,61.724,64.579,69.093,46112.69,38897.43,41758.18
2019-01-04,58.13,61.35,60.73,57.55,48285.28,1.53,2.58,60.87,63.884,68.258,46694.94,40951.85,41993.56
2019-01-07,61.2,63.8,62.9,60.9,56519.63,2.17,3.57,60.99,63.363,67.643,46464.74,43967.48,42099.83
2019-01-08,62.51,62.52,61.2,60.95,37074.17,-1.7,-2.7,60.766,62.786,66.878,44338.33,43959.85,41971.57
2019-01-09,61.5,63.91,62.12,61.01,57187.28,0.92,1.5,61.23,62.237,66.149,47292.48,47112.53,43524.24
2019-01-10,62.13,62.5,61.12,61.09,32076.93,-1.0,-1.61,61.614,61.669,65.349,46228.66,46170.68,43908.6
2019-01-11,61.2,61.78,61.23,61.0,24550.5,0.11,0.18,61.714,61.292,64.809,41481.7,44088.32,41259.64
2019-01-14,61.23,61.75,58.48,58.2,48115.42,-2.75,-4.49,60.83,60.91,64.092,39800.86,43132.8,41203.34
2019-01-15,58.47,60.18,60.1,58.05,40845.53,1.62,2.77,60.61,60.688,63.571,40555.13,42446.73,40681.76
2019-01-16,60.2,62.49,60.8,60.2,49009.61,0.7,1.17,60.346,60.788,63.149,38919.6,43106.04,40761.35
2019-01-17,61.04,61.61,60.24,59.88,32712.08,-0.56,-0.92,60.17,60.892,62.736,39046.63,42637.64,40767.54
2019-01-18,60.6,61.56,61.32,59.87,41404.74,1.08,1.79,60.188,60.951,62.418,42417.48,41949.59,41450.72
2019-01-21,62.1,67.45,67.45,61.32,132756.16,6.13,10.0,61.982,61.406,62.385,59345.62,49573.24,46770.36
2019-01-22,67.4,67.4,66.0,65.16,74563.68,-1.45,-2.15,63.162,61.886,62.336,66089.25,53322.19,48641.02
2019-01-23,65.65,65.75,65.0,63.84,52376.59,-1.0,-1.51,64.002,62.174,62.206,66762.65,52841.12,49976.83
2019-01-24,64.43,70.87,68.2,64.43,107892.73,3.2,4.92,65.594,62.882,62.276,81798.78,60422.7,53296.69
2019-01-25,68.06,71.4,69.72,67.64,98177.84,1.52,2.23,67.274,63.731,62.512,93153.4,67785.44,55936.88
2019-01-28,71.0,72.88,69.9,69.58,78875.96,0.18,0.26,67.764,64.873,62.892,82377.36,70861.49,56997.15
2019-01-29,68.27,70.09,69.2,66.88,63241.81,-0.7,-1.0,68.404,65.783,63.236,80112.99,73101.12,57773.93
2019-01-30,68.98,69.58,67.12,66.8,42795.62,-2.08,-3.01,68.828,66.415,63.602,78196.79,72479.72,57792.88
2019-01-31,67.18,69.9,67.69,67.18,47665.75,0.57,0.85,68.726,67.16,64.026,66151.4,73975.09,58306.37
2019-02-01,68.47,71.3,71.06,68.13,51730.57,3.37,4.98,68.994,68.134,64.543,56861.94,75007.67,58478.63
2019-02-11,71.04,75.6,75.22,70.75,63790.66,4.16,5.85,70.058,68.911,65.159,53844.88,68111.12,58842.18
2019-02-12,74.9,75.3,74.14,73.55,55431.77,-1.08,-1.44,71.046,69.725,65.806,52282.87,66197.93,59760.06
2019-02-13,74.53,78.69,75.35,74.53,82199.39,1.21,1.63,72.692,70.76,66.467,60163.63,69180.21,61010.67
2019-02-14,75.27,77.88,77.1,73.88,57922.98,1.75,2.32,74.574,71.65,67.266,62215.07,64183.24,62302.97
2019-02-15,76.16,77.5,74.7,74.66,52997.19,-2.4,-3.11,75.302,72.148,67.94,62468.4,59665.17,63725.3
2019-02-18,76.1,78.7,78.6,74.48,79229.65,3.9,5.22,75.978,73.018,68.946,65556.2,59700.54,65281.02
2019-02-19,79.5,80.78,78.39,77.03,70830.4,-0.21,-0.27,76.828,73.937,69.86,68635.92,60459.4,66780.26
2019-02-20,78.0,78.29,76.5,75.18,60262.17,-1.89,-2.41,77.058,74.875,70.645,64248.48,62206.05,67342.89
2019-02-21,76.15,79.89,77.11,76.15,75167.28,0.61,0.8,77.06,75.817,71.489,67697.34,64956.21,69465.65
2019-02-22,76.45,81.22,81.21,75.18,113218.96,4.1,5.32,78.362,76.832,72.483,79741.69,71105.05,73056.36
2019-02-25,86.66,89.33,89.33,85.5,117449.19,8.12,10.0,80.508,78.243,73.577,87385.6,76470.9,72291.01
2019-02-26,89.36,98.25,93.11,89.36,121162.48,3.78,4.23,83.452,80.14,74.933,97452.02,83043.97,74620.95
2019-02-27,92.7,95.58,92.6,90.5,74067.03,-0.51,-0.55,86.672,81.865,76.313,100212.99,82230.73,75705.47
2019-02-28,91.22,94.88,92.0,91.18,49614.81,-0.6,-0.65,89.65,83.355,77.503,95102.49,81399.92,72791.58
2019-03-01,93.5,94.25,92.21,89.86,50848.84,0.21,0.23,91.85,85.106,78.627,82628.47,81185.08,70425.13
2019-03-04,96.2,101.4,96.71,95.6,96739.85,4.5,4.88,93.326,86.917,79.968,78486.6,82936.1,71318.32
2019-03-05,97.0,106.38,106.38,95.8,96326.59,9.67,10.0,95.98,89.716,81.827,73519.42,85485.72,72972.56
2019-03-06,110.0,110.0,106.95,103.56,87111.66,0.57,0.54,98.85,92.761,83.818,76128.35,88170.67,75188.36
2019-03-07,104.1,105.5,104.5,100.7,103035.36,-2.45,-2.29,101.35,95.5,85.659,86812.46,90957.48,77956.84
2019-03-08,102.0,114.95,105.9,98.5,135081.44,1.4,1.34,104.088,97.969,87.401,103658.98,93143.73,82124.39
2019-03-11,107.53,113.88,108.11,104.98,107945.61,2.21,2.09,106.368,99.847,89.045,105900.13,92193.37,84332.13
2019-03-12,110.99,117.5,114.0,108.88,96519.85,5.89,5.45,107.892,101.936,91.038,105938.78,89729.1,86386.54
