date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,5.61,5.66,5.61,5.52,38619.34,0.0,0.0,5.616,5.696,5.84,41042.23,41222.69,50295.29
2019-01-03,5.55,5.69,5.56,5.54,60181.15,-0.05,-0.89,5.6,5.667,5.807,43537.06,43935.98,48229.88
2019-01-04,5.51,5.86,5.69,5.46,132902.31,0.13,2.34,5.616,5.653,5.784,60326.59,53929.35,51950.49
2019-01-07,5.75,5.78,5.69,5.64,93750.19,0.0,0.0,5.632,5.645,5.763,71980.4,57020.8,53870.83
2019-01-08,5.68,5.7,5.63,5.58,55999.11,-0.06,-1.05,5.636,5.636,5.742,76290.42,57136.61,54860.51
2019-01-09,5.62,5.73,5.66,5.61,67266.4,0.03,0.53,5.646,5.631,5.734,82019.83,61531.03,53620.73
2019-01-10,5.63,5.64,5.56,5.54,58590.1,-0.1,-1.77,5.646,5.623,5.719,81701.62,62619.34,53921.64
2019-01-11,5.56,5.62,5.56,5.52,41205.74,0.0,0.0,5.62,5.618,5.702,63362.31,61844.45,54027.77
2019-01-14,5.57,5.6,5.59,5.48,55631.0,0.03,0.54,5.6,5.616,5.684,55738.47,63859.43,53419.66
2019-01-15,5.57,5.66,5.62,5.56,56569.38,0.03,0.54,5.598,5.617,5.67,55852.52,66071.47,53956.26
2019-01-16,5.62,5.65,5.58,5.57,42175.1,-0.04,-0.71,5.582,5.614,5.655,50834.26,66427.05,53824.87
2019-01-17,5.56,5.68,5.65,5.56,66942.2,0.07,1.25,5.6,5.623,5.645,52504.68,67103.15,55519.56
2019-01-18,5.63,5.72,5.72,5.62,87768.5,0.07,1.24,5.632,5.626,5.64,61817.24,62589.77,58259.56
2019-01-21,5.7,5.77,5.75,5.68,90859.91,0.03,0.52,5.664,5.632,5.639,68863.02,62300.74,59660.77
2019-01-22,5.71,5.74,5.69,5.65,42777.41,-0.06,-1.04,5.678,5.638,5.637,66104.62,60978.57,59057.59
2019-01-23,5.67,5.68,5.67,5.58,48715.74,-0.02,-0.35,5.696,5.639,5.635,67412.75,59123.51,60327.27
2019-01-24,5.63,5.68,5.62,5.6,39261.37,-0.05,-0.88,5.69,5.645,5.634,61876.59,57190.64,59904.99
2019-01-25,5.6,5.72,5.64,5.6,69134.68,0.02,0.36,5.674,5.653,5.636,58149.82,59983.53,60913.99
2019-01-28,6.2,6.2,5.67,5.67,160919.05,0.03,0.53,5.658,5.661,5.639,72161.65,70512.33,67185.88
2019-01-29,5.67,5.85,5.77,5.65,153274.55,0.1,1.76,5.674,5.676,5.647,94261.08,80182.85,73127.16
2019-01-30,5.71,5.71,5.61,5.51,97099.53,-0.16,-2.77,5.662,5.679,5.647,103937.84,85675.29,76051.17
2019-01-31,5.62,5.74,5.55,5.41,116009.09,-0.06,-1.07,5.648,5.669,5.646,119287.38,90581.98,78842.57
2019-02-01,5.55,5.73,5.7,5.46,96982.88,0.15,2.7,5.66,5.667,5.647,124857.02,91503.42,77046.6
2019-02-11,5.65,5.75,5.73,5.61,79491.76,0.03,0.53,5.672,5.665,5.649,108571.56,90366.61,76333.68
2019-02-12,5.72,5.77,5.74,5.65,80331.32,0.01,0.17,5.666,5.67,5.654,93982.92,94122.0,77550.29
2019-02-13,5.76,5.96,5.96,5.74,188761.86,0.22,3.83,5.736,5.699,5.669,112315.38,108126.61,83625.06
2019-02-14,5.89,5.95,5.85,5.85,108420.86,-0.11,-1.85,5.796,5.722,5.684,110797.74,115042.56,86116.6
2019-02-15,5.84,5.9,5.77,5.74,95804.87,-0.08,-1.37,5.81,5.735,5.694,110562.13,117709.58,88846.55
2019-02-18,5.8,6.0,5.97,5.8,180835.22,0.2,3.47,5.858,5.765,5.713,130830.83,119701.19,95106.76
2019-02-19,6.0,6.54,6.32,5.94,374584.0,0.35,5.86,5.974,5.82,5.748,189681.36,141832.14,111007.5
2019-02-20,6.25,6.34,6.17,6.12,185818.95,-0.15,-2.37,6.016,5.876,5.778,189092.78,150704.08,118189.69
2019-02-21,6.17,6.35,6.18,6.11,240574.55,0.01,0.16,6.082,5.939,5.804,215523.52,163160.63,126871.31
2019-02-22,6.24,6.66,6.51,6.13,348667.41,0.33,5.34,6.23,6.02,5.844,266096.03,188329.08,139916.25
2019-02-25,6.69,7.16,7.16,6.52,760897.25,0.65,9.98,6.468,6.163,5.914,382108.43,256469.63,173418.12
2019-02-26,7.16,7.22,6.97,6.89,585369.5,-0.19,-2.65,6.598,6.286,5.978,424265.53,306973.45,200547.72
2019-02-27,7.0,7.49,7.14,7.0,560646.31,0.17,2.44,6.792,6.404,6.052,499231.0,344161.89,226144.25
