date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,6.6,6.67,6.62,6.56,154351.48,0.03,0.46,6.562,6.516,6.424,131273.34,120570.11,117102.92
2019-01-03,6.61,6.72,6.7,6.55,167579.19,0.08,1.21,6.594,6.534,6.439,140748.81,123355.28,120689.69
2019-01-04,6.65,6.9,6.89,6.63,215180.5,0.19,2.84,6.656,6.582,6.466,159409.93,130515.51,127761.37
2019-01-07,6.91,7.26,7.2,6.84,626311.44,0.31,4.5,6.8,6.656,6.513,258392.56,184542.55,154972.64
2019-01-08,7.14,7.42,7.17,7.09,475068.16,-0.03,-0.42,6.916,6.733,6.557,327698.15,225009.36,176697.97
2019-01-09,7.62,7.86,7.45,7.35,749959.81,0.28,3.9,7.082,6.822,6.622,446819.82,289046.58,208059.56
2019-01-10,7.45,7.55,7.38,7.21,255224.55,-0.07,-0.94,7.218,6.906,6.68,464348.89,302548.85,217069.34
2019-01-11,7.29,7.74,7.64,7.26,303499.53,0.26,3.52,7.368,7.012,6.747,482012.7,320711.31,227911.28
2019-01-14,7.72,7.89,7.5,7.45,375471.84,-0.14,-1.83,7.428,7.114,6.799,431844.78,345118.67,238132.96
2019-01-15,7.47,7.62,7.52,7.46,249644.52,0.02,0.27,7.498,7.207,6.851,386760.05,357229.1,239579.12
2019-01-16,7.56,7.73,7.46,7.42,295094.06,-0.06,-0.8,7.5,7.291,6.904,295786.9,371303.36,245936.73
2019-01-17,7.53,7.63,7.49,7.4,206197.73,0.03,0.4,7.522,7.37,6.952,285981.54,375165.21,249260.25
2019-01-18,7.49,7.54,7.42,7.24,330701.97,-0.07,-0.94,7.478,7.423,7.003,291422.02,386717.36,258616.44
2019-01-21,7.57,7.59,7.5,7.45,213989.31,0.08,1.08,7.478,7.453,7.055,259125.52,345485.15,265013.85
2019-01-22,7.56,7.57,7.31,7.28,170141.12,-0.19,-2.53,7.436,7.467,7.1,243224.84,314992.44,270000.9
2019-01-23,7.34,7.41,7.3,7.24,224196.44,-0.01,-0.14,7.404,7.452,7.137,229045.31,262416.11,275731.34
2019-01-24,7.34,7.38,7.34,7.26,165232.91,0.04,0.55,7.374,7.448,7.177,220852.35,253416.94,277982.9
2019-01-25,7.33,7.7,7.58,7.33,307836.94,0.24,3.27,7.406,7.442,7.227,216279.34,253850.68,287281.0
2019-01-28,7.63,7.71,7.59,7.49,222858.72,0.01,0.13,7.424,7.451,7.283,218053.23,238589.37,291854.02
2019-01-29,7.65,7.74,7.4,7.36,329523.09,-0.19,-2.5,7.442,7.439,7.323,249929.62,246577.23,301903.17
2019-01-30,7.21,7.73,7.63,7.11,425577.12,0.23,3.11,7.508,7.456,7.374,290205.76,259625.54,315464.45
2019-01-31,7.55,7.69,7.52,7.46,227539.2,-0.11,-1.44,7.544,7.459,7.415,302667.01,261759.68,318462.45
2019-02-01,7.48,7.7,7.7,7.36,275132.56,0.18,2.39,7.568,7.487,7.455,296126.14,256202.74,321460.05
2019-02-11,7.68,7.85,7.79,7.57,221868.72,0.09,1.17,7.608,7.516,7.485,295928.14,256990.68,301237.92
2019-02-12,7.81,8.33,8.21,7.81,411697.03,0.42,5.39,7.77,7.606,7.537,312362.93,281146.27,298069.36
2019-02-13,8.24,9.03,8.58,8.12,493855.19,0.37,4.51,7.96,7.734,7.593,326018.54,308112.15,285264.13
2019-02-14,8.38,8.51,8.34,8.25,381200.91,-0.24,-2.8,8.124,7.834,7.641,356750.88,329708.95,291562.95
2019-02-15,8.32,8.35,8.06,7.99,363574.31,-0.28,-3.36,8.196,7.882,7.662,374439.23,335282.69,294566.68
2019-02-18,7.91,8.21,8.19,7.91,475762.25,0.13,1.61,8.276,7.942,7.697,425217.94,360573.04,299581.21
2019-02-19,8.16,8.25,8.12,8.08,315308.09,-0.07,-0.85,8.258,8.014,7.727,405940.15,359151.54,302864.38
2019-02-20,8.13,8.43,8.37,8.07,377350.31,0.25,3.08,8.216,8.088,7.772,382639.17,354328.86,306977.2
2019-02-21,8.37,8.8,8.47,8.33,462818.16,0.1,1.2,8.242,8.183,7.821,398962.62,377856.75,319808.22
