date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,6.52,6.53,6.39,6.37,148632.56,-0.12,-1.84,6.746,6.904,7.262,183372.46,158791.59,152748.43
2019-01-03,6.35,6.48,6.31,6.31,134977.45,-0.08,-1.25,6.6,6.828,7.17,172286.53,158954.6,149966.12
2019-01-04,6.15,6.46,6.42,6.07,249807.2,0.11,1.74,6.478,6.767,7.093,195168.32,172053.46,155109.55
2019-01-07,6.46,6.56,6.52,6.4,184241.08,0.1,1.56,6.43,6.716,7.036,190952.92,176985.25,151920.02
2019-01-08,6.5,6.7,6.59,6.48,185774.98,0.07,1.07,6.446,6.673,6.983,180686.65,182279.84,154852.62
2019-01-09,6.59,6.69,6.48,6.46,243037.12,-0.11,-1.67,6.464,6.605,6.927,199567.57,191470.02,162430.56
2019-01-10,6.53,6.67,6.6,6.49,229420.3,0.12,1.85,6.522,6.561,6.879,218456.14,195371.33,167918.35
2019-01-11,6.61,6.68,6.66,6.54,146812.97,0.06,0.91,6.57,6.524,6.838,197857.29,196512.8,170372.98
2019-01-14,6.61,6.76,6.7,6.55,202989.52,0.04,0.6,6.606,6.518,6.795,201606.98,196279.95,172999.17
2019-01-15,6.64,6.68,6.65,6.55,152859.95,-0.05,-0.75,6.618,6.532,6.76,195023.97,187855.31,172778.72
2019-01-16,6.65,6.67,6.58,6.54,130057.54,-0.07,-1.05,6.638,6.551,6.728,172428.06,185997.81,172394.7
2019-01-17,6.6,6.64,6.48,6.47,112617.06,-0.1,-1.52,6.614,6.568,6.698,149067.41,183761.77,171358.18
2019-01-18,6.48,6.6,6.59,6.34,174839.92,0.11,1.7,6.6,6.585,6.676,154672.8,176265.04,174159.25
2019-01-21,6.58,6.72,6.66,6.5,184361.8,0.07,1.06,6.592,6.599,6.658,150947.25,176277.12,176631.18
2019-01-22,6.72,6.74,6.47,6.46,155947.3,-0.19,-2.85,6.556,6.587,6.63,151564.72,173294.35,177787.09
2019-01-23,6.5,6.55,6.39,6.36,139527.8,-0.08,-1.24,6.518,6.578,6.592,153458.78,162943.42,177206.72
2019-01-24,6.44,6.52,6.42,6.32,146872.88,0.03,0.47,6.506,6.56,6.561,160309.94,154688.67,175030.0
2019-01-25,6.47,6.69,6.56,6.38,211112.08,0.14,2.18,6.5,6.55,6.537,167564.37,161118.59,178815.69
2019-01-28,6.56,6.7,6.61,6.55,215887.56,0.05,0.76,6.49,6.541,6.53,173869.52,162408.39,179344.17
2019-01-29,6.61,6.61,6.26,6.18,241017.2,-0.35,-5.29,6.448,6.502,6.517,190883.5,171224.11,179539.71
2019-01-30,6.21,6.32,6.13,6.11,129187.69,-0.13,-2.08,6.396,6.457,6.504,188815.48,171137.13,178567.47
2019-01-31,6.0,6.08,5.83,5.83,223234.48,-0.3,-4.89,6.278,6.392,6.48,204087.8,182198.87,182980.32
2019-02-01,5.87,6.08,6.08,5.85,174154.2,0.25,4.29,6.182,6.341,6.463,196696.23,182130.3,179197.67
2019-02-11,6.14,6.69,6.69,6.11,324230.69,0.61,10.03,6.198,6.344,6.472,218364.85,196117.19,186197.15
2019-02-12,6.88,7.29,7.12,6.8,743935.94,0.43,6.43,6.37,6.409,6.498,318948.6,254916.05,214105.2
2019-02-13,7.05,7.47,7.43,7.01,693726.75,0.31,4.35,6.63,6.513,6.546,431856.41,310335.95,236639.68
2019-02-14,7.38,7.39,7.25,7.12,529029.44,-0.18,-2.42,6.914,6.596,6.578,493015.4,348551.6,251620.14
2019-02-15,7.27,7.33,7.27,7.18,389759.75,0.02,0.28,7.152,6.667,6.609,536136.51,366416.37,263767.48
2019-02-18,7.35,8.0,8.0,7.2,936825.94,0.73,10.04,7.414,6.806,6.674,658655.56,438510.21,300459.3
2019-02-19,8.07,8.18,7.82,7.68,767912.94,-0.18,-2.25,7.554,6.962,6.732,663450.96,491199.78,331211.95
2019-02-20,7.75,7.98,7.92,7.65,465991.72,0.1,1.28,7.652,7.141,6.799,617903.96,524880.19,348008.66
2019-02-21,7.82,8.26,7.85,7.7,731927.12,-0.07,-0.88,7.772,7.343,6.868,658483.49,575749.45,378974.16
2019-02-22,7.77,8.57,8.42,7.71,714281.12,0.57,7.26,8.002,7.577,6.959,723387.77,629762.14,405946.22
2019-02-25,8.72,9.01,9.01,8.51,762268.5,0.59,7.01,8.204,7.809,7.077,688476.28,673565.92,434841.56
2019-02-26,9.02,9.06,8.7,8.6,688377.44,-0.31,-3.44,8.38,7.967,7.188,672569.18,668010.07,461463.06
2019-02-27,8.75,8.98,8.56,8.36,514611.53,-0.14,-1.61,8.508,8.08,7.297,682293.14,650098.55,480217.25
2019-02-28,8.39,8.56,8.5,8.37,306315.31,-0.06,-0.7,8.638,8.205,7.401,597170.78,627827.14,488189.37
