date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,34.23,34.79,33.79,33.46,4924.19,-0.28,-0.82,34.49,35.018,36.092,8440.16,7886.9,15665.58
2019-01-03,33.7,33.89,32.25,32.2,9648.07,-1.54,-4.56,33.886,34.633,35.728,8835.84,8102.05,15145.08
2019-01-04,32.25,33.78,33.41,32.2,15143.31,1.16,3.6,33.584,34.46,35.394,10200.5,8442.92,14730.36
2019-01-07,33.49,34.73,34.49,33.49,13207.9,1.08,3.23,33.602,34.365,35.227,10542.47,9299.69,13640.04
2019-01-08,34.54,35.3,35.25,34.23,11699.98,0.76,2.2,33.838,34.335,35.196,10924.69,9740.44,12271.56
2019-01-09,35.25,36.32,34.96,34.33,15047.37,-0.29,-0.82,34.072,34.281,35.129,12949.33,10694.74,11421.05
2019-01-10,35.1,36.1,35.71,34.6,10491.0,0.75,2.15,34.764,34.325,35.102,13117.91,10976.88,10939.09
2019-01-11,35.25,35.96,35.24,35.1,6054.0,-0.47,-1.32,35.13,34.357,35.049,11300.05,10750.28,10534.33
2019-01-14,35.78,35.96,35.08,35.01,4331.0,-0.16,-0.45,35.248,34.425,34.952,9524.67,10033.57,10081.12
2019-01-15,35.38,36.35,36.08,34.01,15246.5,1.0,2.85,35.414,34.626,34.929,10233.97,10579.33,9761.28
2019-01-16,35.54,36.16,36.06,35.4,10471.36,-0.02,-0.06,35.634,34.853,34.936,9318.77,11134.05,9510.47
2019-01-17,35.31,36.6,36.05,35.31,6943.68,-0.01,-0.03,35.702,35.233,34.933,8609.31,10863.61,9482.83
2019-01-18,36.41,38.16,37.6,35.78,18529.34,1.55,4.3,36.174,35.652,35.056,11104.38,11202.21,9822.56
2019-01-21,38.1,38.29,37.95,37.51,12266.94,0.35,0.93,36.748,35.998,35.182,12691.56,11108.12,10203.91
2019-01-22,38.05,38.35,38.11,37.41,9679.45,0.16,0.42,37.154,36.284,35.31,11578.15,10906.06,10323.25
2019-01-23,37.71,38.09,37.67,37.25,6119.45,-0.44,-1.16,37.476,36.555,35.418,10707.77,10013.27,10354.01
2019-01-24,37.67,38.38,38.05,37.4,3964.51,0.38,1.01,37.876,36.789,35.557,10111.94,9360.62,10168.75
2019-01-25,38.02,38.67,38.46,37.11,7216.58,0.41,1.08,38.048,37.111,35.734,7849.39,9476.88,10113.58
2019-01-28,37.9,39.09,38.99,37.9,6960.45,0.53,1.38,38.256,37.502,35.964,6788.09,9739.83,9886.7
2019-01-29,38.02,38.8,36.36,35.58,22743.4,-2.63,-6.75,37.906,37.53,36.078,9400.88,10489.52,10534.42
2019-01-30,36.76,38.18,36.9,36.56,19312.74,0.54,1.49,37.752,37.614,36.234,12039.54,11373.65,11253.85
2019-01-31,37.4,38.17,37.59,36.71,9838.3,0.69,1.87,37.66,37.768,36.501,13214.29,11663.12,11263.36
2019-02-01,37.77,39.58,39.53,37.61,15091.65,1.94,5.16,37.874,37.961,36.807,14789.31,11319.35,11260.78
2019-02-11,39.69,40.58,39.49,38.15,11502.29,-0.04,-0.1,37.974,38.115,37.057,15697.68,11242.88,11175.5
2019-02-12,39.24,41.98,41.75,38.81,21207.48,2.26,5.72,39.052,38.479,37.382,15390.49,12395.69,11650.87
2019-02-13,41.5,41.6,41.43,40.5,16244.37,-0.32,-0.77,39.958,38.855,37.705,14776.82,13408.18,11710.72
2019-02-14,41.44,41.5,40.72,40.31,11023.43,-0.71,-1.71,40.584,39.122,37.956,15013.84,14114.07,11737.35
2019-02-15,40.51,41.06,40.1,39.88,10398.99,-0.62,-1.52,40.698,39.286,38.199,14075.31,14432.31,11954.6
2019-02-18,40.59,41.89,41.6,40.28,14603.02,1.5,3.74,41.12,39.547,38.525,14695.46,15196.57,12468.2
2019-02-19,41.2,41.6,40.31,39.7,20494.34,-1.29,-3.1,40.832,39.942,38.736,14552.83,14971.66,12730.59
2019-02-20,40.31,41.45,40.63,39.96,33700.92,0.32,0.79,40.672,40.315,38.965,18044.14,16410.48,13892.07
2019-02-21,40.67,40.7,40.0,39.85,19364.23,-0.63,-1.55,40.528,40.556,39.162,19712.3,17363.07,14513.09
2019-02-22,40.0,40.0,39.08,38.11,36570.67,-0.92,-2.3,40.324,40.511,39.236,24946.64,19510.97,15415.16
2019-02-25,38.94,40.16,40.05,38.8,27769.78,0.97,2.48,40.014,40.567,39.341,27579.99,21137.72,16190.3
2019-02-26,40.5,41.71,39.8,39.78,51569.85,-0.25,-0.62,39.912,40.372,39.426,33795.09,24173.96,18284.82
2019-02-27,40.06,41.18,40.16,39.6,39315.69,0.36,0.91,39.818,40.245,39.55,34918.04,26481.09,19944.63
2019-02-28,38.14,40.6,40.6,38.0,36781.0,0.44,1.1,39.938,40.233,39.678,38401.4,29056.85,21585.46
2019-03-01,40.6,41.5,40.15,39.41,39315.9,-0.45,-1.11,40.152,40.238,39.762,38950.44,31948.54,23190.43
2019-03-04,40.7,44.17,42.71,40.21,77661.6,2.56,6.38,40.684,40.349,39.948,48928.81,38254.4,26725.48
2019-03-05,43.4,44.53,43.76,42.71,66583.42,1.05,2.46,41.476,40.694,40.318,51931.52,42863.31,28917.48
2019-03-06,43.95,44.0,43.6,42.81,40795.25,-0.16,-0.37,42.164,40.991,40.653,52227.43,43572.74,29991.61
2019-03-07,43.9,45.19,43.28,42.68,41314.42,-0.32,-0.73,42.7,41.319,40.938,53134.12,45767.76,31565.42
2019-03-08,43.0,43.49,42.3,42.01,27586.7,-0.98,-2.26,43.13,41.641,41.076,50788.28,44869.36,32190.17
2019-03-11,42.26,45.11,45.0,42.23,36690.41,2.7,6.38,43.588,42.136,41.352,42594.04,45761.42,33449.57
2019-03-12,46.4,47.99,47.08,46.0,45701.8,2.08,4.62,44.252,42.864,41.618,38417.72,45174.62,34674.29
2019-03-13,47.08,49.54,48.1,46.98,40929.55,1.02,2.17,45.152,43.658,41.952,38444.58,45336.01,35908.55
2019-03-14,47.98,49.0,47.58,46.75,22549.68,-0.52,-1.08,46.012,44.356,42.295,34691.63,43912.87,36484.86
2019-03-15,47.5,49.22,48.83,46.9,30280.37,1.25,2.63,47.318,45.224,42.731,35230.36,43009.32,37478.93
2019-03-18,48.48,51.84,51.76,48.02,33077.95,2.93,6.0,48.67,46.129,43.239,34507.87,38550.96,38402.68
2019-03-19,51.77,52.35,50.95,49.78,27177.8,-0.81,-1.56,49.444,46.848,43.771,30803.07,34610.39,38736.85
2019-03-20,50.87,50.87,49.43,47.95,33822.1,-1.52,-2.98,49.71,47.431,44.211,29381.58,33913.08,38742.91
2019-03-21,49.96,50.6,50.0,49.0,18195.11,0.57,1.15,50.194,48.103,44.711,28510.67,31601.15,38684.45
2019-03-22,50.04,50.76,49.94,48.85,24194.36,-0.06,-0.12,50.416,48.867,45.254,27293.46,31261.91,38065.64
2019-03-25,49.88,50.59,49.45,48.8,20768.21,-0.49,-0.98,49.954,49.312,45.724,24831.52,29669.69,37715.56
2019-03-26,49.27,50.21,48.67,48.41,13203.52,-0.78,-1.58,49.498,49.471,46.168,22036.66,26419.87,35797.24
2019-03-27,49.12,51.5,50.66,48.53,25181.78,1.99,4.09,49.744,49.727,46.693,20308.6,24845.09,35090.55
2019-03-28,51.28,51.28,49.68,49.21,17187.6,-0.98,-1.93,49.68,49.937,47.147,20107.09,24308.88,34110.88
2019-03-29,49.98,51.0,50.92,48.95,17023.37,1.24,2.5,49.876,50.146,47.685,18672.9,22983.18,32996.25
2019-04-01,51.3,53.75,53.21,50.51,19608.31,2.29,4.5,50.628,50.291,48.21,18440.92,21636.22,30093.59
