date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,21.71,21.72,21.5,21.36,50160.94,-0.22,-1.01,21.606,21.944,22.605,48888.34,47664.19,45018.35
2019-01-03,21.49,22.65,22.12,21.43,116371.29,0.62,2.88,21.684,21.871,22.516,62279.53,56491.09,48045.22
2019-01-04,22.03,22.3,22.24,21.67,86602.17,0.12,0.54,21.814,21.853,22.448,73017.94,60778.71,50258.27
2019-01-07,22.34,23.07,22.95,22.32,128968.6,0.71,3.19,22.106,21.933,22.413,87803.54,68389.94,53135.85
2019-01-08,22.87,22.87,22.56,22.47,59419.9,-0.39,-1.7,22.274,21.99,22.361,88304.58,67699.48,54087.29
2019-01-09,22.7,22.8,22.51,22.45,50547.47,-0.05,-0.22,22.476,22.041,22.337,88381.89,68635.11,54420.36
2019-01-10,22.51,22.75,22.61,22.34,52367.82,0.1,0.44,22.574,22.129,22.32,75581.19,68930.36,55654.08
2019-01-11,22.47,22.79,22.72,22.47,41489.16,0.11,0.49,22.67,22.242,22.31,66558.59,69788.27,56534.7
2019-01-14,22.72,22.75,22.55,22.43,29311.07,-0.17,-0.75,22.59,22.348,22.276,46627.08,67215.31,56189.72
2019-01-15,22.55,22.75,22.67,22.5,33027.54,0.12,0.53,22.612,22.443,22.269,41348.61,64826.6,55819.07
2019-01-16,22.71,22.78,22.58,22.46,41700.36,-0.09,-0.4,22.626,22.551,22.248,39579.19,63980.54,55822.36
2019-01-17,22.64,22.69,22.3,22.24,38986.41,-0.28,-1.24,22.564,22.569,22.22,36902.91,56242.05,56366.57
2019-01-18,22.38,22.65,22.52,22.31,39529.33,0.22,0.99,22.524,22.597,22.225,36510.94,51534.77,56156.74
2019-01-21,22.59,22.76,22.69,22.45,46146.54,0.17,0.76,22.552,22.571,22.252,39878.04,43252.56,55821.25
2019-01-22,22.59,22.68,22.29,22.13,42453.19,-0.4,-1.76,22.476,22.544,22.267,41763.17,41555.89,54627.68
2019-01-23,22.3,22.54,22.53,22.16,44312.24,0.24,1.08,22.466,22.546,22.294,42285.54,40932.37,54783.74
2019-01-24,22.56,22.95,22.84,22.31,66098.63,0.31,1.38,22.574,22.569,22.349,47707.99,42305.45,55617.9
2019-01-25,22.83,22.89,22.6,22.58,32777.21,-0.24,-1.05,22.59,22.557,22.4,46357.56,41434.25,55611.26
2019-01-28,22.71,22.91,22.45,22.38,45268.6,-0.15,-0.66,22.542,22.547,22.448,46181.97,43030.01,55122.66
2019-01-29,22.46,22.56,22.13,22.05,56005.95,-0.32,-1.43,22.51,22.493,22.468,48892.53,45327.85,55077.22
2019-01-30,22.11,22.35,22.18,22.05,35636.63,0.05,0.23,22.44,22.453,22.502,47157.4,44721.47,54351.01
2019-01-31,22.23,22.33,22.0,21.9,50039.58,-0.18,-0.81,22.272,22.423,22.496,43945.59,45826.79,51034.42
2019-02-01,22.05,22.35,22.31,22.03,34702.66,0.31,1.41,22.214,22.402,22.5,44330.68,45344.12,48439.44
2019-02-11,22.35,22.69,22.68,22.31,55468.27,0.37,1.66,22.26,22.401,22.486,46370.62,46276.3,44764.43
2019-02-12,22.68,23.13,22.96,22.56,79832.82,0.28,1.24,22.426,22.468,22.506,51135.99,50014.26,45785.07
2019-02-13,22.99,23.52,23.34,22.89,88515.65,0.38,1.66,22.658,22.549,22.548,61711.8,54434.6,47683.48
2019-02-14,23.39,23.66,23.42,23.33,74459.52,0.08,0.34,22.942,22.607,22.588,66595.78,55270.69,48788.07
2019-02-15,23.42,23.66,23.3,23.2,67571.38,-0.12,-0.51,23.14,22.677,22.617,73169.53,58750.11,50092.18
2019-02-18,23.36,24.36,24.25,23.36,130036.46,0.95,4.08,23.454,22.857,22.702,88083.17,67226.89,55128.45
2019-02-19,24.4,24.66,24.54,24.04,119996.16,0.29,1.2,23.77,23.098,22.796,96115.83,73625.91,59476.88
2019-02-20,24.54,24.96,24.7,24.13,121155.49,0.16,0.65,24.042,23.35,22.902,102643.8,82177.8,63449.64
2019-02-21,25.08,25.62,24.5,24.38,171384.73,-0.2,-0.81,24.258,23.6,23.012,122028.84,94312.31,70069.55
2019-02-22,24.38,24.95,24.83,24.2,85305.69,0.33,1.35,24.564,23.852,23.127,125575.71,99372.62,72358.37
2019-02-25,25.09,26.38,26.18,24.96,223466.7,1.35,5.44,24.95,24.202,23.302,144261.75,116172.46,81224.38
2019-02-26,25.77,25.91,25.47,25.29,254316.86,-0.71,-2.71,25.136,24.453,23.461,171125.89,133620.86,91817.56
2019-02-27,25.2,26.25,25.25,24.96,237455.52,-0.22,-0.86,25.246,24.644,23.597,194385.9,148514.85,101474.73
2019-02-28,25.5,25.78,25.24,24.9,149692.38,-0.01,-0.04,25.394,24.826,23.717,190047.43,156038.14,105654.41
2019-03-01,25.34,25.34,25.12,24.79,114656.55,-0.12,-0.47,25.452,25.008,23.843,195917.6,160746.65,109748.38
2019-03-04,25.2,25.96,25.51,25.12,207018.92,0.39,1.55,25.318,25.134,23.996,192628.05,168444.9,117835.9
2019-03-05,25.47,26.18,26.03,25.38,163066.84,0.52,2.04,25.43,25.283,24.191,174378.04,172751.97,123188.94
2019-03-06,26.41,26.53,26.07,25.66,153721.52,0.04,0.15,25.594,25.42,24.385,157631.24,176008.57,129093.19
2019-03-07,25.92,26.33,25.82,25.65,145416.84,-0.25,-0.96,25.71,25.552,24.576,156776.13,173411.78,133862.05
2019-03-08,25.48,25.92,24.91,24.82,172211.75,-0.91,-3.52,25.668,25.56,24.706,168287.17,182102.39,140737.5
2019-03-11,24.95,25.94,25.88,24.95,139233.59,0.97,3.89,25.742,25.53,24.866,154730.11,173679.08,144925.77
2019-03-12,26.3,27.18,26.69,25.91,304292.62,0.81,3.13,25.874,25.652,25.053,182975.26,178676.65,156148.76
2019-03-13,26.89,27.95,26.54,26.21,322266.19,-0.15,-0.56,25.968,25.781,25.213,216684.2,187157.72,167836.29
2019-03-14,26.64,26.67,25.85,25.47,190244.06,-0.69,-2.6,25.974,25.842,25.334,225649.64,191212.89,173625.51
2019-03-15,26.12,26.25,25.56,25.31,170224.08,-0.29,-1.12,26.104,25.886,25.447,225252.11,196769.64,178758.15
2019-03-18,25.65,25.95,25.89,25.48,134843.42,0.33,1.29,26.106,25.924,25.529,224374.07,189552.09,178998.5
2019-03-19,26.08,26.55,26.23,25.86,139344.48,0.34,1.31,26.014,25.944,25.614,191384.45,187179.86,179965.91
2019-03-20,26.24,26.27,25.84,25.4,117237.37,-0.39,-1.49,25.874,25.921,25.671,150378.68,183531.44,179770.01
2019-03-21,25.85,26.12,25.92,25.81,97730.12,0.08,0.31,25.888,25.931,25.742,131875.89,178762.77,176087.28
2019-03-22,25.84,26.7,26.7,25.83,184283.88,0.78,3.01,26.116,26.11,25.835,134687.85,179969.98,181036.18
