date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,5.67,5.77,5.57,5.44,144099.55,-0.04,-0.71,5.67,5.844,6.073,133898.22,142060.11,157812.66
2019-01-03,5.59,5.69,5.57,5.5,113654.69,0.0,0.0,5.64,5.793,6.044,132122.67,138132.51,151309.04
2019-01-04,5.5,5.8,5.8,5.47,123968.53,0.23,4.13,5.65,5.768,6.015,141090.42,136487.48,145583.73
2019-01-07,5.85,5.92,5.87,5.76,139113.27,0.07,1.21,5.684,5.751,5.995,136513.05,139704.18,146372.75
2019-01-08,5.86,5.86,5.8,5.69,124502.07,-0.07,-1.19,5.722,5.729,5.97,129067.62,130677.04,147324.29
2019-01-09,5.76,5.89,5.77,5.76,124845.56,-0.03,-0.52,5.762,5.716,5.951,125216.82,129557.52,148723.33
2019-01-10,5.74,5.77,5.68,5.66,87141.65,-0.09,-1.56,5.784,5.712,5.923,119914.22,126018.44,147080.91
2019-01-11,5.7,5.78,5.77,5.63,94517.17,0.09,1.58,5.778,5.714,5.897,114023.94,127557.18,141260.76
2019-01-14,5.77,5.84,5.81,5.72,76469.46,0.04,0.69,5.766,5.725,5.857,101495.18,119004.12,132213.94
2019-01-15,5.8,5.89,5.87,5.73,73726.73,0.06,1.03,5.78,5.751,5.831,91340.11,110203.87,129245.68
2019-01-16,5.87,6.02,5.9,5.85,115512.23,0.03,0.51,5.806,5.784,5.814,89473.45,107345.14,124702.62
2019-01-17,5.91,5.95,5.82,5.8,78755.12,-0.08,-1.36,5.834,5.809,5.801,87796.14,103855.18,120993.85
2019-01-18,5.81,5.88,5.85,5.73,106786.02,0.03,0.52,5.85,5.814,5.791,90249.91,102136.93,119312.2
2019-01-21,5.84,5.96,5.84,5.83,90883.24,-0.01,-0.17,5.856,5.811,5.781,93132.67,97313.93,118509.05
2019-01-22,5.88,5.98,5.87,5.85,98661.93,0.03,0.51,5.856,5.818,5.774,98119.71,94729.91,112703.48
2019-01-23,5.84,5.86,5.78,5.75,53142.15,-0.09,-1.53,5.832,5.819,5.768,85645.69,87559.57,108558.55
2019-01-24,5.78,5.82,5.71,5.65,119721.14,-0.07,-1.21,5.81,5.822,5.767,93838.9,90817.52,108417.98
2019-01-25,5.72,5.87,5.78,5.69,118538.58,0.07,1.23,5.796,5.823,5.769,96189.41,93219.66,110388.42
2019-01-28,5.81,5.88,5.72,5.72,72439.63,-0.06,-1.04,5.772,5.814,5.77,92500.69,92816.68,105910.4
2019-01-29,5.71,6.28,6.22,5.71,335444.56,0.5,8.74,5.842,5.849,5.8,139857.21,118988.46,114596.16
2019-01-30,6.23,6.44,6.21,6.13,456921.19,-0.01,-0.16,5.928,5.88,5.832,220613.02,153129.36,130237.25
2019-01-31,6.21,6.44,6.23,6.2,254405.62,0.02,0.32,6.032,5.921,5.865,247549.92,170694.41,137274.79
2019-02-01,6.31,6.45,6.3,6.22,236698.59,0.07,1.12,6.136,5.966,5.89,271181.92,183685.66,142911.3
2019-02-11,6.33,6.93,6.85,6.33,460094.19,0.55,8.73,6.362,6.067,5.939,348712.83,220606.76,158960.34
2019-02-12,6.83,6.91,6.8,6.71,296326.53,-0.05,-0.73,6.478,6.16,5.989,340889.22,240373.22,167551.56
